product_id,product_name,price,stock,category,date,review_text,sentiment_score,sentiment_label
137,Chickpea Pancakes,4.99,304,Food - Frozen,8/25/2025,absolutely loved it! the burger was amazing.,0.8513,Positive
138,Noise Cancelling Ear Muffs,24.99,4500,Safety,08-10-2025,don't waste your money. the fries is terrible and small portions.,-0.1945,Negative
139,Lightweight Rain Jacket,79.99,811,Clothing - Outerwear,10-12-2025,"everything was fantastic, from the soup to the drinks.",0.5574,Positive
140,Lentils,2.99,542,Food - Grains,10-06-2025,"everything was fresh, from the salad to the drinks.",0.3182,Positive
141,Pesto Genovese,6.49,377,Food - Condiments,12/30/2024,don't waste your money. the steak is terrible and small portions.,-0.1945,Negative
142,Snap-On Tupperware Set,34.99,0,Kitchen,02-01-2025,"everything was mouth-watering, from the salad to the drinks.",0.0,Neutral
143,High-Quality Yoga Mat,34.99,6070,Fitness,10/18/2025,quick delivery and the fries was still hot and mouth-watering.,0.0,Neutral
144,Slingback Sandals,29.99,39,Clothing - Footwear,9/22/2025,the steak was mouth-watering and the service was polite. highly recommend!,0.474,Positive
145,Black Bean Salsa,3.49,19,Food - Snacks,1/20/2025,worst experience ever. the waiter was inattentive and the ramen was terrible.,-0.802,Negative
146,Pistachios,6.99,10,Food - Nuts,5/28/2025,"i found the steak to be salty, but my partner liked theirs.",0.5719,Positive
147,Electric Griddle,54.99,35,Kitchen,8/20/2025,worst experience ever. the waiter was slow and the curry was overpriced.,-0.6249,Negative
148,Stuffed Bell Peppers,5.99,60,Food - Frozen Meals,9/20/2025,don't waste your money. the sandwich is disappointing and small portions.,-0.2187,Negative
149,Organic Chia Seeds,7.99,7141,Food - Health Foods,3/14/2025,absolutely loved it! the fries was fresh.,0.7773,Positive
150,Chocolate Chip Pancake Mix,3.99,374,Food - Bakery,12-07-2025,worst experience ever. the waiter was inattentive and the tacos was terrible.,-0.802,Negative
151,Chocolate Chip Energy Balls,3.99,2989,Food - Snacks,11/14/2025,a hidden gem! best fries i have had in a long time.,0.6696,Positive
152,Stuffed Bell Peppers,5.99,42,Food - Frozen Meals,02-11-2025,the pasta was mouth-watering and the service was attentive. highly recommend!,0.474,Positive
153,Chocolate Chip Energy Balls,3.99,120,Food - Snacks,10/31/2025,"service was welcoming, but the food took too long to arrive.",0.2382,Positive
154,Caramelized Onion Dip Mix,2.29,25,Food - Snacks,11/21/2025,"i found the sushi to be overpriced, but my partner liked theirs.",0.5719,Positive
155,Marinara Parmesan Baked Ziti,8.49,9,Food - Frozen Meals,6/30/2025,quick delivery and the ramen was still hot and excellent.,0.5719,Positive
156,Luxe Velvet Blazer,89.99,648,Clothing - Outerwear,09-06-2025,"great atmosphere, but the fries was just okay.",0.5994,Positive
157,Chickpeas,1.29,49,Food - Canned Goods,02-09-2025,"everything was excellent, from the tacos to the drinks.",0.5719,Positive
158,Dog Walking Waist Pack,19.99,114,Pets,03-12-2025,the soup was excellent and the service was quick. highly recommend!,0.7773,Positive
159,Maple Pecan Oatmeal Cookies,3.99,13,Food - Bakery,6/20/2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
160,Ginger Turmeric Tea,3.49,5,Food - Beverages,1/31/2025,i was disappointed with the fries. it tasted overpriced.,-0.4767,Negative
161,Vegetable Samosas,4.99,3784,Food - Frozen,3/21/2025,absolutely loved it! the salad was amazing.,0.8513,Positive
162,Puzzle,27.99,4751,Toys,6/19/2025,a hidden gem! best soup i have had in a long time.,0.6696,Positive
163,Sporty Cap,15.99,45,Clothing - Accessories,2/25/2025,don't waste your money. the burger is terrible and small portions.,-0.1945,Negative
164,Mesh Sports Leggings,39.99,13,Clothing - Activewear,01-09-2025,"great atmosphere, but the cake was just okay.",0.5994,Positive
165,Rechargeable Electric Screwdriver,39.99,526,Tools,2/25/2025,worst experience ever. the waiter was unprofessional and the pasta was cold.,-0.8126,Negative
166,Comfort Flats,44.99,930,Clothing - Shoes,08-03-2025,don't waste your money. the salad is overpriced and small portions.,0.3252,Positive
167,Harvest Grain Salad,5.49,335,Food - Salads,08-02-2025,the burger was excellent and the service was polite. highly recommend!,0.7773,Positive
168,Thai Peanut Noodles,4.99,29,Food - Pasta,12-01-2025,quick delivery and the tacos was still hot and fresh.,0.3182,Positive
169,Waterproof Rain Boots,69.99,10,Clothing - Footwear,5/30/2025,absolutely loved it! the soup was fresh.,0.7773,Positive
170,Compact Digital Camera,249.99,10,Photography,06-02-2025,absolutely loved it! the pasta was amazing.,0.8513,Positive
171,Kids Tablet,129.99,4895,Electronics,03-08-2025,a hidden gem! best fries i have had in a long time.,0.6696,Positive
172,Tea Infuser Bottle,19.99,935,Kitchen,6/27/2025,worst experience ever. the waiter was forgetful and the steak was bland.,-0.7351,Negative
173,Buttermilk Pancakes,3.99,0,Food - Breakfast,01-04-2025,"the staff was rude, but the soup was surprisingly flavorful.",0.2023,Positive
174,Creamy Avocado Dip,3.49,797,Food - Snacks,01-09-2025,"great atmosphere, but the pasta was just okay.",0.5994,Positive
175,Wall-Mounted Wine Rack,39.99,18,Home,9/30/2025,a hidden gem! best sandwich i have had in a long time.,0.6696,Positive
176,Air Fryer Oven,149.99,0,Kitchen,05-12-2025,i was disappointed with the steak. it tasted terrible.,-0.7351,Negative
177,Coconut Oil,6.49,96,Food - Oils & Vinegars,11/30/2025,the salad was perfect and the service was welcoming. highly recommend!,0.8653,Positive
178,LED Strip Lights Kit,29.99,26,Home,7/13/2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
179,Crispy Rice Treats,3.5,39,Food - Snacks,12/24/2024,a hidden gem! best sandwich i have had in a long time.,0.6696,Positive
180,Eco-Friendly Yoga Blocks,15.99,162,Fitness,12/26/2024,worst experience ever. the waiter was forgetful and the fries was undercooked.,-0.7351,Negative
181,Garlic and Herb Rub,2.29,863,Food - Spices,11/18/2025,"service was welcoming, but the food took too long to arrive.",0.2382,Positive
182,Stuffed Grape Leaves,5.79,511,Food - Prepared Foods,03-10-2025,don't waste your money. the burger is salty and small portions.,0.3252,Positive
183,Wireless Charging Pad,19.99,22,Accessories,06-01-2025,i was disappointed with the curry. it tasted bland.,-0.4767,Negative
184,Cinnamon Sugar Popcorn,2.89,7,Food - Snacks,1/24/2025,"service was attentive, but the food took too long to arrive.",0.0,Neutral
185,Set of Measuring Spoons,12.99,2064,Kitchen,7/24/2025,i was disappointed with the fries. it tasted undercooked.,-0.4767,Negative
186,Compact Electric Kettle,29.99,30,Kitchen,10-08-2025,"great atmosphere, but the soup was just okay.",0.5994,Positive
187,Honey Mustard Sauce,3.29,1608,Food - Condiments,02-01-2025,a hidden gem! best steak i have had in a long time.,0.6696,Positive
188,Hot Dog Buns,2.49,96,Food - Bakery,1/20/2025,"service was quick, but the food took too long to arrive.",0.0,Neutral
189,Cinnamon Sugar Popcorn,2.89,671,Food - Snacks,06-09-2025,don't waste your money. the salad is salty and small portions.,0.3252,Positive
190,Customizable Wall Calendar,24.99,1968,Office,8/16/2025,"the staff was inattentive, but the pasta was surprisingly excellent.",0.8338,Positive
191,Pet Camera with Treat Dispenser,149.99,0,Pets,08-03-2025,"i found the pasta to be undercooked, but my partner liked theirs.",0.5719,Positive
192,Travel Makeup Organizer,25.99,7620,Beauty,4/14/2025,worst experience ever. the waiter was rude and the coffee was bland.,-0.7964,Negative
193,Herbed Goat Cheese,5.49,1166,Food - Cheese,04-07-2025,i was disappointed with the fries. it tasted disappointing.,-0.743,Negative
194,Mini Indoor Herb Garden Kit,24.99,11136,Garden,11-09-2025,"i found the coffee to be cold, but my partner liked theirs.",0.5719,Positive
195,Garden Hoses with Expandable Features,34.99,113,Garden,12/21/2024,the fries was mouth-watering and the service was attentive. highly recommend!,0.474,Positive
196,Gardening Gloves with Claws,24.99,698,Garden,10-03-2025,"service was friendly, but the food took too long to arrive.",0.2732,Positive
197,Lemon Herb Chicken,7.49,1013,Food - Meat,8/13/2025,i was disappointed with the sushi. it tasted salty.,-0.4767,Negative
198,Personalized Pet ID Tags,9.99,2910,Pets,06-06-2025,don't waste your money. the salad is salty and small portions.,0.3252,Positive
199,Decorative Throw Blanket,39.99,1181,Home,10/30/2025,don't waste your money. the sushi is stale and small portions.,0.3252,Positive
200,Woven Storage Baskets,24.99,2500,Home,4/16/2025,a hidden gem! best curry i have had in a long time.,0.6696,Positive
201,Whisk Set,12.99,2363,Kitchen,1/26/2025,a hidden gem! best soup i have had in a long time.,0.6696,Positive
202,Ginger Turmeric Tea,3.49,245,Food - Beverages,5/14/2025,don't waste your money. the soup is greasy and small portions.,0.3252,Positive
203,Electric Heat Pad,24.99,573,Health,11/24/2025,"service was welcoming, but the food took too long to arrive.",0.2382,Positive
204,Electric Toothbrush Holder,14.99,7130,Health,4/18/2025,a hidden gem! best tacos i have had in a long time.,0.6696,Positive
205,Herbed Goat Cheese,5.49,13,Food - Cheese,7/14/2025,absolutely loved it! the pasta was flavorful.,0.6689,Positive
206,Wireless Smart Plug,19.99,858,Smart Home,04-12-2025,"everything was fantastic, from the salad to the drinks.",0.5574,Positive
207,Portable Campfire,39.99,538,Outdoor,5/30/2025,"service was attentive, but the food took too long to arrive.",0.0,Neutral
208,Radish Chips,2.89,117,Food - Snacks,10/28/2025,don't waste your money. the pasta is greasy and small portions.,0.3252,Positive
209,Honey Sesame Chicken,8.99,15,Food - Frozen Food,3/17/2025,"the staff was rude, but the salad was surprisingly fresh.",0.5789,Positive
210,Artisan Bread,4.59,718,Food - Bakery,03-07-2025,i was disappointed with the salad. it tasted greasy.,-0.4767,Negative
211,Aged White Cheddar Popcorn,2.99,62,Food - Snacks,1/30/2025,absolutely loved it! the salad was fantastic.,0.8436,Positive
212,Underwater Camera,199.99,12,Photography,11/18/2025,"i found the salad to be bland, but my partner liked theirs.",0.5719,Positive
213,Gardening Fairy Figurines,14.99,16,Garden,7/24/2025,worst experience ever. the waiter was unprofessional and the curry was bland.,-0.8126,Negative
214,Dog Collar,15.99,3556,Pets,3/25/2025,worst experience ever. the waiter was unprofessional and the sandwich was bland.,-0.8126,Negative
215,Smoky BBQ Jackfruit,4.99,499,Food - Grocery,5/15/2025,"the staff was forgetful, but the curry was surprisingly excellent.",0.8074,Positive
216,Wooden Children's Play Kitchen,129.99,840,Toys,04-12-2025,"everything was excellent, from the pasta to the drinks.",0.5719,Positive
