productid,product,cost,in_stock,item_category,date,items_sold
58,Faux Leather Leggings,49.99,164,Clothing - Pants,5/11/2025,935
59,Lemon Herb Quinoa,3.49,927,Food - Grains,2/1/2025,3609
60,Mini Air Purifier,49.99,694,Health,12/21/2024,10
61,Peach Salsa,3.29,1430,Food - Dips,9/26/2025,242
62,Oven Mitts,15.99,76,Kitchen,4/25/2025,118
63,Hair Dryer,39.99,597,Beauty,7/26/2025,2450
64,Almond Butter Cups,3.29,26,Food - Snacks,2/11/2025,241
65,Tomatillo Salsa,3.29,160,Food - Condiments,12/21/2024,594
66,Garlic Butter Sauce,3.59,670,Food - Condiments,2/11/2025,35
67,Non-Stick Crepe Pan,29.99,118,Kitchen,3/6/2025,1560
68,Gardening Fairy Figurines,14.99,1587,Garden,4/3/2025,997
69,Orange Ginger Vinaigrette,3.99,770,Food - Condiments,8/8/2025,173
70,Italian Meatballs,8.49,12,Food - Meat,7/19/2025,1847
71,Magnetic Phone Car Mount,14.99,3,Automotive,4/5/2025,8
72,Handheld Vacuum,79.99,220,Home Appliances,4/8/2025,33
73,Teriyaki Sauce,2.99,1010,Food - Condiments,1/12/2025,67
74,Handheld Shower Head,34.99,2223,Bathroom,10/18/2025,859
75,Chocolate Protein Powder,24.99,347,Food - Supplements,11/17/2025,340
76,Low-Fat Yogurt,3.29,1477,Food - Dairy,9/2/2025,22
77,Maple Syrup,6.99,,Food - Condiments,3/5/2025,19
78,Pet Travel Bowl,10.99,3707,Pets,11/18/2025,31
79,Sweet Potato Chips,2.99,4452,Food - Snacks,1/28/2025,358
80,Mesh Sports Leggings,39.99,104,Clothing - Activewear,5/20/2025,1480
81,Luxury Bath Robe,49.99,75,Clothing,10/12/2025,3562
82,Spiralizer,22.99,170,Kitchen,11/22/2025,1410
83,Fettuccine Alfredo Dinner Kit,5.49,117,Food - Prepared Meals,8/5/2025,788
84,Over-Ear Headphones,59.99,,Audio,1/10/2025,320
85,Stick Vacuums Cleaner,129.99,1301,Home Appliances,8/17/2025,119
86,Chickpea Salad Deluxe,4.29,760,Food - Produce,8/20/2025,49
87,Insulated Wine Tote,24.99,59,Accessories,4/19/2025,18
88,Cranberry Lime Sparkling Water,1.5,2317,Food - Beverages,1/19/2025,295
89,Low-Fat Cottage Cheese,2.99,1213,Food - Dairy,2/20/2025,913
90,Roasted Vegetable Medley,3.99,1476,Food - Frozen Foods,9/27/2025,634
91,Mushroom Soup (canned),2.49,325,Food - Canned Goods,7/27/2025,572
92,Electric Air Pump,29.99,505,Outdoor,7/23/2025,90
93,Mango Chilli Sauce,3.99,1063,Food - Condiments,12/8/2025,6201
94,Portable Water Filter,29.99,43,Outdoor,7/25/2025,4513
95,Luxury Rolling Makeup Case,99.99,30,Beauty,12/17/2024,682
96,Baked Mac and Cheese,5.99,112,Food - Frozen Foods,12/9/2025,12
97,Dark Chocolate Covered Almonds,7.19,1670,Food - Snacks,10/12/2025,1942
98,Fitness Jump Rope with LCD Counter,15.99,633,Fitness,3/25/2025,443
99,Wrist Support Brace,19.99,256,Health,10/21/2025,666
100,Organic Black Rice,3.59,6070,Food - Grains,6/10/2025,82
101,Peanut Butter Protein Balls,5.29,3318,Food - Snacks,3/1/2025,662
102,Body Pillow Case,14.99,669,Home,12/24/2024,63
103,Dishwasher Safe Cutting Board,22.99,784,Kitchen,11/18/2025,374
104,Bluetooth Sleep Headphones,29.99,50,Audio,2/21/2025,
105,Cacao Nibs,6.49,870,Food - Baking,5/28/2025,5022
106,Ice Cream Scoop,12.99,570,Kitchen,11/25/2025,623
107,Children's Educational Puzzle,19.99,52,Toys,2/1/2025,7360
108,Sweet Potato Tots,4.29,2096,Food - Frozen Foods,8/29/2025,916
109,Digital Food Scale,22.99,69,Kitchen,4/11/2025,171
110,Bamboo Utensil Set,14.99,3206,Kitchen,8/20/2025,8
111,Multicolored LED Strip Lights,29.99,726,Home,12/10/2025,721
112,Almond Flour Brownies,5.99,5507,Food - Baking,8/1/2025,131
113,Basil-infused Olive Oil,6.99,31,Food - Cooking Oil,11/28/2025,100
114,Cordless Electric Screwdriver,39.99,49,Tools,5/6/2025,160
115,Infrared Thermometer Gun,29.99,16,Health,2/26/2025,3025
116,Fried Rice,4.29,584,Food - Frozen Foods,11/2/2025,1462
117,Peach Mango Smoothie,3.49,1592,Food - Beverages,1/17/2025,224
118,Dish Soap Dispenser,18.99,588,Kitchen,3/23/2025,112
119,Kids' Art Supplies Kit,29.99,361,Toys,9/30/2025,392
120,Bird Feeder,24.99,820,Outdoor,1/3/2025,492
121,Kitchen Knife Sharpening System,39.99,1026,Kitchen,5/2/2025,14
122,Sweet Chili Dipping Sauce,2.99,0,Food - Condiments,12/2/2025,1600
123,Collapsible Colander,14.99,33,Kitchen,11/17/2025,23
124,Digital Photo Frame,79.99,1477,Home,11/21/2025,213
125,Spicy Thai Noodles,1.99,859,Food - Frozen Meals,1/10/2025,1029
126,Car Diagnostic Scanner,49.99,345,Automotive,8/4/2025,3946
127,Chili Powder,2.09,1034,Food - Spices,4/13/2025,0
128,Dark Chocolate Almond Butter Cups,4.99,272,Food - Snacks,1/18/2025,73
129,Black Bean Soup,3.49,70,Food - Soups,4/17/2025,83
130,Yoga Mat Carrier,12.99,1077,Fitness,1/30/2025,249
131,Pasta Portion Control Measure,9.99,100,Kitchen,5/20/2025,2897
132,Zesty Cilantro Lime Dressing,3.29,71,Food - Condiments,1/13/2025,459
133,Cocktail Shaker and Mixing Glass Set,39.99,1653,Kitchen,5/16/2025,481
134,Mobile Workbench,199.99,13,Tools,8/13/2025,197
135,Wireless Car Charger,24.99,6,Automotive,8/6/2025,523
136,Teriyaki Chicken Stir-Fry,6.99,1563,Food - Frozen Foods,4/9/2025,1640
137,Chickpea Pancakes,4.99,304,Food - Frozen,8/25/2025,137
138,Noise Cancelling Ear Muffs,24.99,4500,Safety,8/10/2025,129
139,Lightweight Rain Jacket,79.99,811,Clothing - Outerwear,10/12/2025,699
140,Lentils,2.99,542,Food - Grains,10/6/2025,68
141,Pesto Genovese,6.49,377,Food - Condiments,12/30/2024,3799
142,Snap-On Tupperware Set,34.99,,Kitchen,2/1/2025,600
143,High-Quality Yoga Mat,34.99,6070,Fitness,10/18/2025,6500
144,Slingback Sandals,29.99,39,Clothing - Footwear,9/22/2025,12
145,Black Bean Salsa,3.49,19,Food - Snacks,1/20/2025,452
146,Pistachios,6.99,10,Food - Nuts,5/28/2025,236
147,Electric Griddle,54.99,35,Kitchen,8/20/2025,59
148,Stuffed Bell Peppers,5.99,60,Food - Frozen Meals,9/20/2025,7
149,Organic Chia Seeds,7.99,7141,Food - Health Foods,3/14/2025,646
150,Chocolate Chip Pancake Mix,3.99,374,Food - Bakery,12/7/2025,175
151,Chocolate Chip Energy Balls,3.99,2989,Food - Snacks,11/14/2025,825
152,Stuffed Bell Peppers,5.99,42,Food - Frozen Meals,2/11/2025,60
153,Chocolate Chip Energy Balls,3.99,120,Food - Snacks,10/31/2025,1875
154,Caramelized Onion Dip Mix,2.29,25,Food - Snacks,11/21/2025,7034
155,Marinara Parmesan Baked Ziti,8.49,9,Food - Frozen Meals,6/30/2025,7300
156,Luxe Velvet Blazer,89.99,648,Clothing - Outerwear,9/6/2025,846
157,Chickpeas,1.29,49,Food - Canned Goods,2/9/2025,276
158,Dog Walking Waist Pack,19.99,114,Pets,3/12/2025,353
159,Maple Pecan Oatmeal Cookies,3.99,13,Food - Bakery,6/20/2025,633
160,Ginger Turmeric Tea,3.49,5,Food - Beverages,1/31/2025,122
161,Vegetable Samosas,4.99,3784,Food - Frozen,3/21/2025,1540
162,Puzzle,27.99,4751,Toys,6/19/2025,3057
163,Sporty Cap,15.99,45,Clothing - Accessories,2/25/2025,1815
164,Mesh Sports Leggings,39.99,13,Clothing - Activewear,1/9/2025,39
165,Rechargeable Electric Screwdriver,39.99,526,Tools,2/25/2025,21
166,Comfort Flats,44.99,930,Clothing - Shoes,8/3/2025,470
167,Harvest Grain Salad,5.49,335,Food - Salads,8/2/2025,167
168,Thai Peanut Noodles,4.99,29,Food - Pasta,12/1/2025,714
169,Waterproof Rain Boots,69.99,10,Clothing - Footwear,5/30/2025,215
170,Compact Digital Camera,249.99,10,Photography,6/2/2025,168
171,Kids Tablet,129.99,4895,Electronics,3/8/2025,7
172,Tea Infuser Bottle,19.99,935,Kitchen,6/27/2025,88
173,Buttermilk Pancakes,3.99,0,Food - Breakfast,1/4/2025,376
174,Creamy Avocado Dip,3.49,797,Food - Snacks,1/9/2025,3206
175,Wall-Mounted Wine Rack,39.99,18,Home,9/30/2025,8400
176,Air Fryer Oven,149.99,,Kitchen,5/12/2025,584
177,Coconut Oil,6.49,96,Food - Oils & Vinegars,11/30/2025,
178,LED Strip Lights Kit,29.99,26,Home,7/13/2025,33
179,Crispy Rice Treats,3.5,39,Food - Snacks,12/24/2024,1110
180,Eco-Friendly Yoga Blocks,15.99,162,Fitness,12/26/2024,138
181,Garlic and Herb Rub,2.29,863,Food - Spices,11/18/2025,104
182,Stuffed Grape Leaves,5.79,511,Food - Prepared Foods,3/10/2025,812
183,Wireless Charging Pad,19.99,22,Accessories,6/1/2025,1003
184,Cinnamon Sugar Popcorn,2.89,7,Food - Snacks,1/24/2025,277
185,Set of Measuring Spoons,12.99,2064,Kitchen,7/24/2025,26
186,Compact Electric Kettle,29.99,30,Kitchen,10/8/2025,33
187,Honey Mustard Sauce,3.29,1608,Food - Condiments,2/1/2025,59
188,Hot Dog Buns,2.49,96,Food - Bakery,1/20/2025,267
189,Cinnamon Sugar Popcorn,2.89,671,Food - Snacks,6/9/2025,1162
190,Customizable Wall Calendar,24.99,1968,Office,8/16/2025,176
191,Pet Camera with Treat Dispenser,149.99,0,Pets,8/3/2025,80
192,Travel Makeup Organizer,25.99,7620,Beauty,4/14/2025,1234
193,Herbed Goat Cheese,5.49,1166,Food - Cheese,4/7/2025,2925
194,Mini Indoor Herb Garden Kit,24.99,11136,Garden,11/9/2025,11
195,Garden Hoses with Expandable Features,34.99,113,Garden,12/21/2024,10
196,Gardening Gloves with Claws,24.99,698,Garden,10/3/2025,32
197,Lemon Herb Chicken,7.49,1013,Food - Meat,8/13/2025,1998
198,Personalized Pet ID Tags,9.99,2910,Pets,6/6/2025,911
199,Decorative Throw Blanket,39.99,1181,Home,10/30/2025,539
200,Woven Storage Baskets,24.99,2500,Home,4/16/2025,90
201,Whisk Set,12.99,2363,Kitchen,1/26/2025,3494
202,Ginger Turmeric Tea,3.49,245,Food - Beverages,5/14/2025,800
203,Electric Heat Pad,24.99,573,Health,11/24/2025,1965
204,Electric Toothbrush Holder,14.99,7130,Health,4/18/2025,459
205,Herbed Goat Cheese,5.49,13,Food - Cheese,7/14/2025,2875
206,Wireless Smart Plug,19.99,858,Smart Home,4/12/2025,4065
207,Portable Campfire,39.99,538,Outdoor,5/30/2025,4170
208,Radish Chips,2.89,117,Food - Snacks,10/28/2025,2547
209,Honey Sesame Chicken,8.99,15,Food - Frozen Food,3/17/2025,407
210,Artisan Bread,4.59,718,Food - Bakery,3/7/2025,15
211,Aged White Cheddar Popcorn,2.99,62,Food - Snacks,1/30/2025,90
212,Underwater Camera,199.99,12,Photography,11/18/2025,82
213,Gardening Fairy Figurines,14.99,16,Garden,7/24/2025,869
214,Dog Collar,15.99,3556,Pets,3/25/2025,1464
215,Smoky BBQ Jackfruit,4.99,499,Food - Grocery,5/15/2025,12
216,Wooden Children's Play Kitchen,129.99,840,Toys,4/12/2025,341
217,Set of Silicone Cooking Utensils,29.99,47,Kitchen,9/18/2025,1026
218,Electric Pressure Cooker,89.99,220,Kitchen,1/7/2025,55
219,LED Flashlight with Rechargeable Batteries,19.99,6,Outdoor,4/18/2025,7
220,Oats,3.29,7216,Food - Grains,10/13/2025,13
221,Vegetable Stock,2.49,131,Food - Cooking Essentials,11/5/2025,870
222,Baked Potato Chips,2.49,24,Food - Snacks,1/24/2025,465
223,Granola Cereal,4.49,698,Food - Breakfast,4/29/2025,2697
224,Italian Herb Balsamic Marinade,3.99,,Food - Condiments,5/1/2025,777
225,Handmade Leather Journal,39.99,276,Books,11/4/2025,3314
226,Pet Activity Tracker,59.99,294,Pets,8/25/2025,41
227,Vegetable Korma,6.49,565,Food - Frozen,11/1/2025,550
228,Car Phone Mount,15.99,529,Automotive,2/12/2025,1360
229,Teriyaki Chicken Stir-Fry,6.99,112,Food - Frozen Foods,8/4/2025,624
230,Trackpad for Laptop,49.99,41,Accessories,5/3/2025,5960
231,Coconut Cashew Yogurt,1.99,127,Food - Dairy Alternatives,12/26/2024,2743
232,Tailored Dress Pants,79.99,20,Clothing - Bottoms,3/27/2025,30
233,Sea Salt Caramel Popcorn,3.99,5382,Food - Snacks,6/17/2025,2615
234,Rustic Italian Breads,3.99,7,Food - Bakery,10/21/2025,483
235,Wine Glasses,29.99,34,Home,6/14/2025,1180
236,Outdoor Adventure Backpack,59.99,102,Outdoor,8/11/2025,39
237,Compressible Packing Cubes,29.99,,Travel,9/28/2025,353
238,Avocado Oil,8.49,1814,Food - Oils,4/23/2025,18
239,Italian Meatballs,8.49,83,Food - Meat,2/8/2025,164
240,Hand Crank Blender,18.99,4423,Kitchen,7/13/2025,338
241,Maple Breakfast Sausage,5.99,268,Food - Meat,7/14/2025,5200
242,Essential Oil Roller Bottles,19.99,3366,Health,10/10/2025,403
243,Sriracha Hot Chili Sauce,2.99,1045,Food - Condiments,3/6/2025,433
244,Beef Taco Skillet,8.49,1726,Food - Meal Kits,1/22/2025,169
245,Camping Tent,79.99,10,Outdoor,1/13/2025,97
246,Lemon Garlic Marinade,4.29,3250,Food - Condiments,3/8/2025,770
247,Infrared Thermometer,39.99,400,Health,12/29/2024,790
248,Electric Heat Press Machine,99.99,217,Crafts,10/28/2025,86
249,Computer Monitor Stand,29.99,4520,Office,9/28/2025,624
250,Customizable Name Plate,19.99,4796,Office,7/23/2025,26
251,Mint Chocolate Chip Ice Cream,4.99,,Food - Frozen Desserts,7/20/2025,827
252,Garden Tool Belt,22.99,186,Garden,6/30/2025,584
253,Stainless Steel BBQ Grill Set,49.99,,Outdoor,9/27/2025,7285
254,Tuscan Bean Soup,2.49,569,Food - Canned Goods,8/27/2025,1060
255,Picnic Blanket,29.99,2563,Outdoor,5/8/2025,193
256,Bicycle Repair Kit,14.99,81,Outdoor,8/24/2025,3362
257,Peach & Mango Salsa,4.49,1660,Food - Snacks,11/11/2025,1061
258,Diced Tomatoes (canned),1.49,184,Food - Canned Goods,3/7/2025,92
259,Basil Tomato Soup,2.99,48,Food - Canned Soups,6/20/2025,129
260,Wireless Earbuds Case,12.99,1526,Accessories,10/20/2025,98
261,Manual Coffee Grinder,22.99,83,Kitchen,2/14/2025,5
262,Maple Breakfast Sausage,5.99,628,Food - Meat,7/25/2025,164
263,Spaghetti Squash,3.99,345,Food - Produce,9/29/2025,1250
264,Caramel Apple Taffy,1.99,29,Food - Confectionery,3/30/2025,59
265,Chic Jumpsuit,89.99,59,Clothing - Jumpsuits,6/4/2025,1151
266,Digital Wireless Meat Thermometer,39.99,2525,Kitchen,8/13/2025,5340
267,Electric Rice Cooker with Steamer,49.99,1574,Kitchen,5/17/2025,1267
268,Sun-Dried Tomatoes,3.99,38,Food - Vegetables,7/18/2025,1003
269,Wild Rice Pilaf,3.79,82,Food - Grains,2/26/2025,2313
270,Leather Crossbody Bag,89.99,89,Clothing - Bags,9/14/2025,48
271,Camping Chair,29.99,80,Outdoor,9/5/2025,39
272,Mini Air Hockey Table,39.99,1110,Toys,4/3/2025,495
273,Multi-Functional Rice Cooker,49.99,286,Kitchen,10/22/2025,811
274,Dog Frisbee Toy,10.99,4,Pets,3/28/2025,308
275,Cauliflower Gnocchi,3.59,16,Food - Frozen Foods,2/10/2025,925
276,Wireless Wi-Fi Extender,49.99,36,Electronics,3/27/2025,923
277,Kitchen Knife Sharpening System,39.99,84,Kitchen,9/24/2025,35
278,Portable Air Compressor,44.99,1040,Automotive,6/7/2025,1883
279,Smoked Gouda Cheese,5.49,328,Food - Dairy,4/25/2025,-13
280,Self-Watering Planters,49.99,2040,Garden,4/27/2025,5435
281,Bird Feeder,24.99,210,Outdoor,9/19/2025,2077
282,Cranberry Almond Biscotti,4.19,72,Food - Bakery,11/21/2025,4056
283,Heavy-Duty Utility Tote,34.99,2269,Accessories,1/25/2025,1339
284,Baked Mac and Cheese,5.99,20,Food - Frozen Foods,10/12/2025,13
285,Canned Coconut Milk,1.89,13,Food - Canned Goods,11/6/2025,1100
286,Stuffed Peppers with Quinoa,7.99,1847,Food - Prepared Meals,2/20/2025,15
287,USB Desk Fan,14.99,7,Home,8/15/2025,0
288,Blue Corn Tortilla Chips,3.49,279,Food - Snacks,3/13/2025,984
289,Peach Halves (canned),2.49,4227,Food - Canned Goods,3/6/2025,372
290,Luxe Velvet Blazer,89.99,60,Clothing - Outerwear,3/25/2025,1396
291,Smart Wi-Fi Light Bulbs,19.99,465,Smart Home,12/11/2025,87
292,Peanut Butter Cookies,3.49,135,Food - Bakery,1/12/2025,115
293,Sweet Cherry Tomatoes,2.99,1017,Food - Produce,1/4/2025,1365
294,Children's Educational Puzzle,19.99,719,Toys,1/28/2025,21
295,Sweet Potato and Chickpea Bowl,6.49,1313,Food - Frozen Food,1/17/2025,3
296,Fruit and Nut Medley,5.99,1132,Food - Snacks,11/25/2025,2615
297,Wildflower Honey,4.99,653,Food - Condiments,11/1/2025,2571
298,Adjustable Garden Rake,22.99,768,Garden,3/24/2025,529
299,Interactive Plush Toy,34.99,294,Toys,2/2/2025,349
300,Cable Knit Beanie,19.99,16,Clothing - Accessories,7/15/2025,72
301,Dried Cranberries,4.29,44,Food - Snacks,6/12/2025,32
302,Organic Black Bean Burger,4.49,3,Food - Frozen Foods,6/21/2025,10
303,Cat Tree,99.99,6070,Pets,3/15/2025,234
304,Ceramic Knife Set,39.99,,Kitchen,7/4/2025,1314
305,Peanut Butter Banana Smoothie Mix,4.49,599,Food - Beverages,9/17/2025,534
306,Lemon Garlic Shrimp,8.99,16,Food - Seafood,5/19/2025,44
307,Spinach Feta Wraps,4.29,1476,Food - Deli,10/6/2025,293
308,Silicone Baking Mat,15.99,,Kitchen,11/14/2025,2082
309,Electric Fondue Pot,39.99,360,Kitchen,5/5/2025,278
310,Cable Knit Cardigan,49.99,668,Clothing - Outerwear,1/24/2025,1140
311,Wrist Support Brace,19.99,125,Health,1/24/2025,
312,Cinnamon Raisin Bread,3.79,28,Food - Bakery,7/2/2025,
313,Peach Fruit Cups,1.99,2272,Food - Snacks,10/5/2025,598
314,Video Camera,199,344,Electronics,8/3/2025,548
315,Protein Pancake Mix,3.99,540,Food - Breakfast,1/5/2025,896
316,Spicy Vegetable Sushi Rolls,8.49,968,Food - Prepared Foods,11/13/2025,77
317,Honey Lemon Tea,3.29,103,Food - Beverages,7/24/2025,
318,Pumpkin Pie Spice,2.99,10,Food - Baking,7/28/2025,3217
319,Travel Makeup Organizer,25.99,1862,Beauty,8/16/2025,837
320,Asian Stir-Fry Vegetables,2.99,2219,Food - Frozen Foods,11/19/2025,1572
321,Italian Sausage and Peppers,8.99,1784,Food - Meat,3/1/2025,350
322,Portable Air Pump,19.99,72,Outdoor,2/8/2025,3428
323,Peach Mango Smoothie Mix,5.99,1095,Food - Beverages,4/29/2025,951
324,Almond Milk Yogurt,1.99,4423,Food - Dairy Alternatives,9/19/2025,9334
325,Almond Joy Protein Bars,1.99,193,Food - Snacks,2/26/2025,89
326,Zucchini Noodles,3.99,7316,Food - Vegetables,6/15/2025,4823
327,Vegetable Quinoa Bowl,5.99,3282,Food - Frozen Meals,8/16/2025,1446
328,Honey-Balsamic Vinaigrette,3.39,11,Food - Dressing,5/12/2025,3362
329,Organic Green Apples,1.49,3,Food - Produce,7/25/2025,172
330,Outdoor Camping Hammock,29.99,0,Outdoor,9/28/2025,281
331,Indestructible Dog Toy,15.99,1747,Pets,7/19/2025,589
332,Kids' Art Supplies Kit,29.99,2231,Toys,7/6/2025,3
333,Berry Smoothie Mix,4.99,550,Food - Frozen Foods,8/23/2025,2143
334,Chicken Sausage,6.99,118,Food - Meat,9/8/2025,3025
335,Essential Oil Roller Bottles,19.99,10,Health,4/21/2025,2021
336,Fitness Activity Journal,14.99,23,Fitness,11/29/2025,40
337,Portable Air Pump,19.99,529,Outdoor,10/14/2025,5600
338,Organic Quinoa Chips,3.99,60,Food - Snacks,8/30/2025,55
339,Phone Screen Protector,12.99,60,Accessories,9/23/2025,16
340,Cinnamon Sugar Mix,1.49,55,Food - Baking,2/4/2025,184
341,Caramelized Onion Dip,3.99,690,Food - Dairy,7/23/2025,206
342,Kale and Quinoa Salad,6.49,27,Food - Salads,9/20/2025,821
343,Puff Pastry,5.49,1444,Food - Bakery,11/18/2025,193
344,Buffalo Chicken Dip,5.99,59,Food - Dips,12/24/2024,2661
345,Cinnamon Sugar Tortilla Chips,3.29,463,Food - Snacks,10/6/2025,966
346,Wine Decanter,34.99,913,Home,8/18/2025,302
347,Spicy Thai Noodles,1.99,2031,Food - Frozen Meals,2/24/2025,20
348,Desk Lamp with USB Port,29.99,119,Office,10/26/2025,
349,Zucchini Noodles,3.99,43,Food - Vegetables,2/17/2025,5575
350,Smart Thermos,39.99,7,Fitness,4/4/2025,3217
351,Fitness Balance Ball,24.99,4368,Fitness,8/10/2025,32
352,Organic Quinoa Salad,5.99,252,Food - Prepared Meals,6/24/2025,
353,Fruit & Nut Trail Mix,4.99,,Food - Snacks,8/22/2025,1325
354,Electric Griddle,54.99,4473,Kitchen,7/22/2025,956
355,Garlic Butter Shrimp,8.99,4858,Food - Seafood,12/12/2025,4212
356,Pumpkin Waffles,4.49,0,Food - Breakfast,1/7/2025,714
357,High-Speed HDMI Cable,12.99,1095,Electronics,1/10/2025,381
358,Professional Chef Knife,89.99,683,Kitchen,1/10/2025,461
359,Chicken Parmesan Dinner Kit,14.99,172,Food - Frozen Meals,1/24/2025,100
360,Chocolate Coconut Protein Balls,2.99,8,Food - Snacks,1/29/2025,82
361,Dog Walking Waist Pack,19.99,1680,Pets,5/27/2025,7
362,Mini Fondue Set,34.99,182,Kitchen,8/19/2025,4744
363,Thai Red Curry Paste,3.99,217,Food - Condiments,6/27/2025,3640
364,Mango Chili Salsa,4.29,1639,Food - Condiments,12/5/2025,21
365,Self-Watering Planter,24.99,482,Garden,2/8/2025,39
366,Electric Nail File Kit,34.99,772,Beauty,11/20/2025,732
367,Caraway Rye Bread,4.79,1198,Food - Bakery,12/16/2025,184
368,Travel Shoe Bags Set,15.99,2600,Travel,12/20/2024,400
369,Pasta Primavera,4.99,12,Food - Frozen Foods,12/17/2024,3
370,Herb Garlic Butter,3.99,10,Food - Condiments,11/19/2025,3538
371,Breezy Off-The-Shoulder Top,34.99,369,Clothing - Tops,12/12/2025,982
372,Handheld Garment Steamer,34.99,75,Home,6/6/2025,413
373,Electric Razor,59.99,3,Health,5/27/2025,0
374,Non-Toxic Concrete Sealer,39.99,2240,Home Improvement,5/15/2025,778
375,Roasted Vegetable Medley,3.99,,Food - Frozen Foods,5/18/2025,3
376,Electric Screwdriver,59.99,454,Tools,2/18/2025,833
377,Multi-Port USB Hub,19.99,716,Electronics,9/17/2025,832
378,Chunky Knit Sweater,59.99,160,Clothing - Tops,3/14/2025,479
379,Breathable Face Mask Set,14.99,13,Health,3/30/2025,143
380,Roasted Vegetable Medley,3.99,440,Food - Frozen Foods,1/4/2025,1476
381,Couscous Mix,2.49,1620,Food - Grains,11/6/2025,1480
382,Spicy BBQ Sauce,3.99,128,Food - Condiments,10/29/2025,1195
383,Terry Cloth Robe,59.99,1002,Clothing - Loungewear,7/25/2025,123
