product_id,product_name,price,stock,category,date,review_text
119,Kids' Art Supplies Kit,29.99,361.0,Toys,9/30/2025,A hidden gem! Best pizza I have had in a long time.
120,Bird Feeder,24.99,820.0,Outdoor,1/3/2025,Don't waste your money. The cake is cold and small portions.
121,Kitchen Knife Sharpening System,39.99,1026.0,Kitchen,5/2/2025,Absolutely loved it! The burger was amazing.
122,Sweet Chili Dipping Sauce,2.99,0.0,Food - Condiments,12/2/2025,"Everything was flavorful, from the burger to the drinks."
123,Collapsible Colander,14.99,33.0,Kitchen,11/17/2025,"The staff was slow, but the cake was surprisingly fantastic."
124,Digital Photo Frame,79.99,1477.0,Home,11/21/2025,"The staff was slow, but the ramen was surprisingly delicious."
125,Spicy Thai Noodles,1.99,859.0,Food - Frozen Meals,1/10/2025,Worst experience ever. The waiter was forgetful and the pizza was greasy.
126,Car Diagnostic Scanner,49.99,345.0,Automotive,8/4/2025,I was disappointed with the sandwich. It tasted salty.
127,Chili Powder,2.09,1034.0,Food - Spices,4/13/2025,The steak was fresh and the service was quick. Highly recommend!
128,Dark Chocolate Almond Butter Cups,4.99,272.0,Food - Snacks,1/18/2025,"I found the fries to be disappointing, but my partner liked theirs."
129,Black Bean Soup,3.49,70.0,Food - Soups,4/17/2025,Worst experience ever. The waiter was inattentive and the sandwich was salty.
130,Yoga Mat Carrier,12.99,1077.0,Fitness,1/30/2025,Don't waste your money. The pizza is overpriced and small portions.
131,Pasta Portion Control Measure,9.99,100.0,Kitchen,5/20/2025,"Great atmosphere, but the ramen was just okay."
132,Zesty Cilantro Lime Dressing,3.29,71.0,Food - Condiments,1/13/2025,Worst experience ever. The waiter was inattentive and the salad was bland.
133,Cocktail Shaker and Mixing Glass Set,39.99,1653.0,Kitchen,5/16/2025,Don't waste your money. The sandwich is stale and small portions.
134,Mobile Workbench,199.99,13.0,Tools,8/13/2025,I was disappointed with the sandwich. It tasted stale.
135,Wireless Car Charger,24.99,6.0,Automotive,8/6/2025,"Everything was delicious, from the ramen to the drinks."
136,Teriyaki Chicken Stir-Fry,6.99,1563.0,Food - Frozen Foods,4/9/2025,"Service was attentive, but the food took too long to arrive."
137,Chickpea Pancakes,4.99,304.0,Food - Frozen,8/25/2025,Absolutely loved it! The burger was amazing.
138,Noise Cancelling Ear Muffs,24.99,4500.0,Safety,8/10/2025,Don't waste your money. The fries is terrible and small portions.
139,Lightweight Rain Jacket,79.99,811.0,Clothing - Outerwear,10/12/2025,"Everything was fantastic, from the soup to the drinks."
140,Lentils,2.99,542.0,Food - Grains,10/6/2025,"Everything was fresh, from the salad to the drinks."
141,Pesto Genovese,6.49,377.0,Food - Condiments,12/30/2024,Don't waste your money. The steak is terrible and small portions.
142,Snap-On Tupperware Set,34.99,0.0,Kitchen,2/1/2025,"Everything was mouth-watering, from the salad to the drinks."
143,High-Quality Yoga Mat,34.99,6070.0,Fitness,10/18/2025,Quick delivery and the fries was still hot and mouth-watering.
144,Slingback Sandals,29.99,39.0,Clothing - Footwear,9/22/2025,The steak was mouth-watering and the service was polite. Highly recommend!
145,Black Bean Salsa,3.49,19.0,Food - Snacks,1/20/2025,Worst experience ever. The waiter was inattentive and the ramen was terrible.
146,Pistachios,6.99,10.0,Food - Nuts,5/28/2025,"I found the steak to be salty, but my partner liked theirs."
147,Electric Griddle,54.99,35.0,Kitchen,8/20/2025,Worst experience ever. The waiter was slow and the curry was overpriced.
148,Stuffed Bell Peppers,5.99,60.0,Food - Frozen Meals,9/20/2025,Don't waste your money. The sandwich is disappointing and small portions.
149,Organic Chia Seeds,7.99,7141.0,Food - Health Foods,3/14/2025,Absolutely loved it! The fries was fresh.
150,Chocolate Chip Pancake Mix,3.99,374.0,Food - Bakery,12/7/2025,Worst experience ever. The waiter was inattentive and the tacos was terrible.
151,Chocolate Chip Energy Balls,3.99,2989.0,Food - Snacks,11/14/2025,A hidden gem! Best fries I have had in a long time.
152,Stuffed Bell Peppers,5.99,42.0,Food - Frozen Meals,2/11/2025,The pasta was mouth-watering and the service was attentive. Highly recommend!
153,Chocolate Chip Energy Balls,3.99,120.0,Food - Snacks,10/31/2025,"Service was welcoming, but the food took too long to arrive."
154,Caramelized Onion Dip Mix,2.29,25.0,Food - Snacks,11/21/2025,"I found the sushi to be overpriced, but my partner liked theirs."
155,Marinara Parmesan Baked Ziti,8.49,9.0,Food - Frozen Meals,6/30/2025,Quick delivery and the ramen was still hot and excellent.
156,Luxe Velvet Blazer,89.99,648.0,Clothing - Outerwear,9/6/2025,"Great atmosphere, but the fries was just okay."
157,Chickpeas,1.29,49.0,Food - Canned Goods,2/9/2025,"Everything was excellent, from the tacos to the drinks."
158,Dog Walking Waist Pack,19.99,114.0,Pets,3/12/2025,The soup was excellent and the service was quick. Highly recommend!
159,Maple Pecan Oatmeal Cookies,3.99,13.0,Food - Bakery,6/20/2025,"Service was friendly, but the food took too long to arrive."
160,Ginger Turmeric Tea,3.49,5.0,Food - Beverages,1/31/2025,I was disappointed with the fries. It tasted overpriced.
161,Vegetable Samosas,4.99,3784.0,Food - Frozen,3/21/2025,Absolutely loved it! The salad was amazing.
162,Puzzle,27.99,4751.0,Toys,6/19/2025,A hidden gem! Best soup I have had in a long time.
163,Sporty Cap,15.99,45.0,Clothing - Accessories,2/25/2025,Don't waste your money. The burger is terrible and small portions.
164,Mesh Sports Leggings,39.99,13.0,Clothing - Activewear,1/9/2025,"Great atmosphere, but the cake was just okay."
165,Rechargeable Electric Screwdriver,39.99,526.0,Tools,2/25/2025,Worst experience ever. The waiter was unprofessional and the pasta was cold.
166,Comfort Flats,44.99,930.0,Clothing - Shoes,8/3/2025,Don't waste your money. The salad is overpriced and small portions.
167,Harvest Grain Salad,5.49,335.0,Food - Salads,8/2/2025,The burger was excellent and the service was polite. Highly recommend!
168,Thai Peanut Noodles,4.99,29.0,Food - Pasta,12/1/2025,Quick delivery and the tacos was still hot and fresh.
169,Waterproof Rain Boots,69.99,10.0,Clothing - Footwear,5/30/2025,Absolutely loved it! The soup was fresh.
170,Compact Digital Camera,249.99,10.0,Photography,6/2/2025,Absolutely loved it! The pasta was amazing.
171,Kids Tablet,129.99,4895.0,Electronics,3/8/2025,A hidden gem! Best fries I have had in a long time.
172,Tea Infuser Bottle,19.99,935.0,Kitchen,6/27/2025,Worst experience ever. The waiter was forgetful and the steak was bland.
173,Buttermilk Pancakes,3.99,0.0,Food - Breakfast,1/4/2025,"The staff was rude, but the soup was surprisingly flavorful."
174,Creamy Avocado Dip,3.49,797.0,Food - Snacks,1/9/2025,"Great atmosphere, but the pasta was just okay."
175,Wall-Mounted Wine Rack,39.99,18.0,Home,9/30/2025,A hidden gem! Best sandwich I have had in a long time.
176,Air Fryer Oven,149.99,0.0,Kitchen,5/12/2025,I was disappointed with the steak. It tasted terrible.
177,Coconut Oil,6.49,96.0,Food - Oils & Vinegars,11/30/2025,The salad was perfect and the service was welcoming. Highly recommend!
178,LED Strip Lights Kit,29.99,26.0,Home,7/13/2025,"Service was friendly, but the food took too long to arrive."
179,Crispy Rice Treats,3.5,39.0,Food - Snacks,12/24/2024,A hidden gem! Best sandwich I have had in a long time.
180,Eco-Friendly Yoga Blocks,15.99,162.0,Fitness,12/26/2024,Worst experience ever. The waiter was forgetful and the fries was undercooked.
181,Garlic and Herb Rub,2.29,863.0,Food - Spices,11/18/2025,"Service was welcoming, but the food took too long to arrive."
182,Stuffed Grape Leaves,5.79,511.0,Food - Prepared Foods,3/10/2025,Don't waste your money. The burger is salty and small portions.
183,Wireless Charging Pad,19.99,22.0,Accessories,6/1/2025,I was disappointed with the curry. It tasted bland.
184,Cinnamon Sugar Popcorn,2.89,7.0,Food - Snacks,1/24/2025,"Service was attentive, but the food took too long to arrive."
185,Set of Measuring Spoons,12.99,2064.0,Kitchen,7/24/2025,I was disappointed with the fries. It tasted undercooked.
186,Compact Electric Kettle,29.99,30.0,Kitchen,10/8/2025,"Great atmosphere, but the soup was just okay."
187,Honey Mustard Sauce,3.29,1608.0,Food - Condiments,2/1/2025,A hidden gem! Best steak I have had in a long time.
188,Hot Dog Buns,2.49,96.0,Food - Bakery,1/20/2025,"Service was quick, but the food took too long to arrive."
189,Cinnamon Sugar Popcorn,2.89,671.0,Food - Snacks,6/9/2025,Don't waste your money. The salad is salty and small portions.
190,Customizable Wall Calendar,24.99,1968.0,Office,8/16/2025,"The staff was inattentive, but the pasta was surprisingly excellent."
191,Pet Camera with Treat Dispenser,149.99,0.0,Pets,8/3/2025,"I found the pasta to be undercooked, but my partner liked theirs."
192,Travel Makeup Organizer,25.99,7620.0,Beauty,4/14/2025,Worst experience ever. The waiter was rude and the coffee was bland.
193,Herbed Goat Cheese,5.49,1166.0,Food - Cheese,4/7/2025,I was disappointed with the fries. It tasted disappointing.
194,Mini Indoor Herb Garden Kit,24.99,11136.0,Garden,11/9/2025,"I found the coffee to be cold, but my partner liked theirs."
195,Garden Hoses with Expandable Features,34.99,113.0,Garden,12/21/2024,The fries was mouth-watering and the service was attentive. Highly recommend!
196,Gardening Gloves with Claws,24.99,698.0,Garden,10/3/2025,"Service was friendly, but the food took too long to arrive."
197,Lemon Herb Chicken,7.49,1013.0,Food - Meat,8/13/2025,I was disappointed with the sushi. It tasted salty.
198,Personalized Pet ID Tags,9.99,2910.0,Pets,6/6/2025,Don't waste your money. The salad is salty and small portions.
199,Decorative Throw Blanket,39.99,1181.0,Home,10/30/2025,Don't waste your money. The sushi is stale and small portions.
200,Woven Storage Baskets,24.99,2500.0,Home,4/16/2025,A hidden gem! Best curry I have had in a long time.
201,Whisk Set,12.99,2363.0,Kitchen,1/26/2025,A hidden gem! Best soup I have had in a long time.
202,Ginger Turmeric Tea,3.49,245.0,Food - Beverages,5/14/2025,Don't waste your money. The soup is greasy and small portions.
203,Electric Heat Pad,24.99,573.0,Health,11/24/2025,"Service was welcoming, but the food took too long to arrive."
204,Electric Toothbrush Holder,14.99,7130.0,Health,4/18/2025,A hidden gem! Best tacos I have had in a long time.
205,Herbed Goat Cheese,5.49,13.0,Food - Cheese,7/14/2025,Absolutely loved it! The pasta was flavorful.
206,Wireless Smart Plug,19.99,858.0,Smart Home,4/12/2025,"Everything was fantastic, from the salad to the drinks."
207,Portable Campfire,39.99,538.0,Outdoor,5/30/2025,"Service was attentive, but the food took too long to arrive."
208,Radish Chips,2.89,117.0,Food - Snacks,10/28/2025,Don't waste your money. The pasta is greasy and small portions.
209,Honey Sesame Chicken,8.99,15.0,Food - Frozen Food,3/17/2025,"The staff was rude, but the salad was surprisingly fresh."
210,Artisan Bread,4.59,718.0,Food - Bakery,3/7/2025,I was disappointed with the salad. It tasted greasy.
211,Aged White Cheddar Popcorn,2.99,62.0,Food - Snacks,1/30/2025,Absolutely loved it! The salad was fantastic.
212,Underwater Camera,199.99,12.0,Photography,11/18/2025,"I found the salad to be bland, but my partner liked theirs."
213,Gardening Fairy Figurines,14.99,16.0,Garden,7/24/2025,Worst experience ever. The waiter was unprofessional and the curry was bland.
214,Dog Collar,15.99,3556.0,Pets,3/25/2025,Worst experience ever. The waiter was unprofessional and the sandwich was bland.
215,Smoky BBQ Jackfruit,4.99,499.0,Food - Grocery,5/15/2025,"The staff was forgetful, but the curry was surprisingly excellent."
216,Wooden Children's Play Kitchen,129.99,840.0,Toys,4/12/2025,"Everything was excellent, from the pasta to the drinks."
217,Set of Silicone Cooking Utensils,29.99,47.0,Kitchen,9/18/2025,"Great atmosphere, but the fries was just okay."
218,Electric Pressure Cooker,89.99,220.0,Kitchen,1/7/2025,"Everything was excellent, from the cake to the drinks."
219,LED Flashlight with Rechargeable Batteries,19.99,6.0,Outdoor,4/18/2025,The salad was mouth-watering and the service was welcoming. Highly recommend!
220,Oats,3.29,7216.0,Food - Grains,10/13/2025,Worst experience ever. The waiter was slow and the cake was stale.
221,Vegetable Stock,2.49,131.0,Food - Cooking Essentials,11/5/2025,"Service was polite, but the food took too long to arrive."
222,Baked Potato Chips,2.49,24.0,Food - Snacks,1/24/2025,"Service was polite, but the food took too long to arrive."
223,Granola Cereal,4.49,698.0,Food - Breakfast,4/29/2025,Worst experience ever. The waiter was forgetful and the fries was bland.
224,Italian Herb Balsamic Marinade,3.99,0.0,Food - Condiments,5/1/2025,I was disappointed with the burger. It tasted stale.
225,Handmade Leather Journal,39.99,276.0,Books,11/4/2025,Worst experience ever. The waiter was inattentive and the cake was disappointing.
226,Pet Activity Tracker,59.99,294.0,Pets,8/25/2025,Quick delivery and the soup was still hot and flavorful.
227,Vegetable Korma,6.49,565.0,Food - Frozen,11/1/2025,Quick delivery and the coffee was still hot and perfect.
228,Car Phone Mount,15.99,529.0,Automotive,2/12/2025,A hidden gem! Best pasta I have had in a long time.
229,Teriyaki Chicken Stir-Fry,6.99,112.0,Food - Frozen Foods,8/4/2025,Quick delivery and the sushi was still hot and fantastic.
230,Trackpad for Laptop,49.99,41.0,Accessories,5/3/2025,Quick delivery and the cake was still hot and excellent.
231,Coconut Cashew Yogurt,1.99,127.0,Food - Dairy Alternatives,12/26/2024,Absolutely loved it! The sushi was excellent.
232,Tailored Dress Pants,79.99,20.0,Clothing - Bottoms,3/27/2025,Don't waste your money. The coffee is salty and small portions.
233,Sea Salt Caramel Popcorn,3.99,5382.0,Food - Snacks,6/17/2025,The pizza was perfect and the service was attentive. Highly recommend!
234,Rustic Italian Breads,3.99,7.0,Food - Bakery,10/21/2025,Don't waste your money. The salad is stale and small portions.
235,Wine Glasses,29.99,34.0,Home,6/14/2025,"Service was friendly, but the food took too long to arrive."
236,Outdoor Adventure Backpack,59.99,102.0,Outdoor,8/11/2025,Quick delivery and the burger was still hot and excellent.
237,Compressible Packing Cubes,29.99,0.0,Travel,9/28/2025,"Everything was flavorful, from the sushi to the drinks."
238,Avocado Oil,8.49,1814.0,Food - Oils,4/23/2025,"The staff was slow, but the sandwich was surprisingly fantastic."
239,Italian Meatballs,8.49,83.0,Food - Meat,2/8/2025,"The staff was unprofessional, but the burger was surprisingly fresh."
240,Hand Crank Blender,18.99,4423.0,Kitchen,7/13/2025,Quick delivery and the salad was still hot and fantastic.
241,Maple Breakfast Sausage,5.99,268.0,Food - Meat,7/14/2025,Don't waste your money. The curry is undercooked and small portions.
